address,name,kind,confidence,notes
0x399F48,player_state_roll,function,confirmed,Applies rolling ground physics collision jump checks and exit at low speed
0x39AA86,player_enter_jump,function,confirmed,Applies jump velocity along the surface normal and enters airborne movement
0x39AABA,set_player_airborne_flags,function,confirmed,Sets task flag bit 1 clears bit 7 and detaches the player from the supporting object
0x39AAC6,player_enter_airborne,function,confirmed,Applies airborne flags and changes the task function to the common airborne state
0x39AAF7,player_state_airborne,function,confirmed,Applies airborne movement gravity collision and animation
0x39ABCA,relax_airborne_surface_angle,function,confirmed,Rotates the stored surface angle four units per gameplay tick back toward zero
0x39B4C8,load_collision_radii,function,confirmed,Copies object horizontal and vertical collision radii into shared collision scratch values
0x39B508,resolve_ground_surface_collision,function,probable,Probes around the current surface quadrant and snaps the player to the selected ground wall or ceiling
0x39B83E,check_ground_attachment,function,probable,Uses paired surface sensors to update angle and reports when the player has lost contact
0x39BAD4,resolve_airborne_collision,function,probable,Integrates airborne movement then resolves floor ceiling and wall contacts from velocity direction
0x39D085,level_manager_task_init,function,probable,Initializes the persistent level manager task at RAM 0x6754
0x39D416,set_player_state_if_active,function,probable,Replaces the player task function when gameplay is in an active state
0x39E1AB,gameplay_session_task_init,function,probable,Loads a selected stage and creates level-manager and player tasks
0x3A59C4,vblank_restart_timer0_if_enabled,function,probable,Restarts TLCS-900H Timer 0 when the flag at 0x68E8 is nonzero
0x3F18FB,service_z80_command_queue,function,probable,Services the TLCS-900H to Z80 communication ring buffer
0x3F1B67,advance_z80_command_queue,function,probable,Advances the Z80 command queue read index modulo 16
0x004014,free_task_head,data,probable,Pointer to the first free task node in the fixed task pool
0x00401A,engine_task,data,confirmed,First task node and linked-list anchor initialized at boot
0x00499A,active_task_count,data,probable,Count adjusted when dynamic tasks are allocated and freed
0x004D40,controller_state_current,data,confirmed,Current raw active-high controller bits
0x004D41,controller_state_pressed,data,confirmed,Bits that transitioned from released to pressed this poll
0x004D42,controller_state_pressed_or_repeat,data,probable,New presses plus generated key-repeat events
0x004D44,controller_repeat_counter,data,probable,Frame counter used to generate repeated button events
0x004D45,controller_repeat_delay,data,probable,Repeat threshold initialized to six frames
0x006708,player_task,data,confirmed,Static player task node and state beginning at this RAM address
0x006754,level_manager_task,data,probable,Static level-manager task node beginning at this RAM address
0x0068E8,timer0_restart_enabled,data,probable,Controls the Timer 0 restart performed during VBlank
